Year,Name
2016,Khel Toh Ab Shuru Hoga
2016,Dear Dad
2016,Kaptaan
2016,Sarbjit
2016,Phobia
2016,Veerappan
2016,Fredrick
2016,Waiting
2016,Housefull 3
2016,Do Lafzon Ki Kahani
2016,Dhanak
2016,Te3n
2016,Udta Punjab
2016,Luv u Alia
2016,Raman Raghav 2.0
2016,Junooniyat
2016,7 Hours To Go
2016,Rough Book
2016,Shorgul
2016,Dil Toh Deewana Hai
2016,Sultan
2016,Brahman Naman
2016,Great Grand Masti
2016,Madaari
2016,Ishq Click
2016,M Cream
2016,Dishoom
2016,The Legend of Michael Mishra
2016,Fever
2016,Hai Apna Dil Toh Awara
2016,Mohenjo Daro
2016,Rustom
2016,Happy Bhaag Jayegi
2016,Warrior Savitri
2016,A Flying Jatt
2016,Akira
2016,Yea Toh Two Much Ho Gayaa
2016,Island City
2016,Baar Baar Dekho
2016,Freaky Ali
2016,Ek Kahani Julie Ki
2016,Raaz Reboot
2016,Pink
2016,Parched
2016,Banjo
2016,Days of Tafree
2016,Wah Taj
2016,M.S. Dhoni: The Untold Story
2016,Mirzya
2016,MSG: The Warrior Lion Heart
2016,Tutak Tutak Tutiya
2016,Anna
2016,Motu Patlu: King of Kings
2016,Beiimaan Love
2016,Saat Uchakkey
2016,Fuddu
2016,Ek Tera Saath
2016,Umrika
2016,31st October
2016,Shivaay
2016,Chaar Sahibzaade: Rise of Banda Singh Bahadur
2016,Dongri Ka Raja
2016,Ishq Junoon
2016,Rock On 2
2016,Tum Bin 2
2016,Force 2
2016,Dear Zindagi
2016,Saansein
2016,Moh Maya Money
2016,Kahaani 2
2016,Befikre
2016,Wajah Tum Ho
2016,Dangal
2015,International Hero
2015,Mumbai Can Dance Saala
2015,Take It Easy
2015,Tevar
2015,Alone
2015,Crazy Cukkad Family
2015,Sharafat Gayi Tel Lene
2015,Baby
2015,Dolly ki Doli
2015,Chal Guru Ho Ja Shuru
2015,Hawaizaada
2015,Khamoshiyan: Silences Have Secrets
2015,Rahasya
2015,Jai Jawaan Jai Kisaan
2015,Shamitabh
2015,MSG: The Messenger
2015,Roy
2015,Badlapur
2015,Qissa
2015,Ab Tak Chhappan 2
2015,Dum Laga Ke Haisha
2015,Badmashiyaan
2015,Coffee Bloom
2015,Dirty Politics
2015,Hey Bro
2015,NH10
2015,Dilliwali Zaalim Girlfriend
2015,Hunterrr
2015,Barkhaa
2015,Detective Byomkesh Bakhsy
2015,Paisa Ho Paisa
2015,Luckhnowi Ishq
2015,Dharam Sankat Mein
2015,Ek Pahel Leela
2015,Court
2015,Margarita with a Straw
2015,Mr. X
2015,NH-8 Road to Nidhivan
2015,Ishq Ke Parindey
2015,Kaagaz Ke Fools
2015,Gabbar is Back
2015,Sabki Bajegi Band
2015,Kuch Kuch Locha Hai
2015,Piku
2015,Bombay Velvet
2015,Main Hoon Rajinikanth
2015,Tanu Weds Manu Returns
2015,I Love Desi
2015,Ishqedarriyaan
2015,P Se PM Tak
2015,Welcome 2 Karachi
2015,Dil Dhadakne Do
2015,Mere Genie Uncle
2015,Hamari Adhuri Kahani
2015,ABCD 2
2015,Miss Tanakpur Haazir Ho
2015,Uvaa
2015,Bezubaan Ishq
2015,Guddu Rangeela
2015,Second Half Husband
2015,Baahubali
2015,I Love NY
2015,Bajrangi Bhaijaan
2015,Aisa Yeh Jahaan
2015,Masaan
2015,Drishyam
2015,Bangistan
2015,All Is Well
2015,Brothers
2015,Gour Hari Dastaan
2015,Rolling Dream
2015,Phantom
2015,Welcome Back
2015,Hero
2015,Sorry Daddy
2015,Katti Batti
2015,Meeruthiya Gangster
2015,MSG-2: The Messenger
2015,Kis Kisko Pyaar Karoon
2015,Calender Girls
2015,Bhaag Johny
2015,Singh is Bliing
2015,Talvar
2015,Jazbaa
2015,Bumber Draw
2015,Chinar Daastaan-E-Ishq
2015,Pyaar Ka Punchname 2
2015,Wedding Pullav
2015,Shandaar
2015,Titli
2015,Main Aur Charles
2015,Once Upon A Time In Bihar
2015,Guddu Ki Gun
2015,Four Pillars of Basement
2015,Charlie Kay Chakkar Mein
2015,Yaara Silly Silly
2015,Ranbanka
2015,Prem Ratan Dhan Payo
2015,X
2015,Angry Indian Goddesses
2015,Tamasha
2015,Hate Story 3
2015,Kajarya
2015,The Silent Heroes
2015,Bajirao Mastani
2015,Dilwale
2014,Mr Joe B. Carvalho
2014,Sholay 3D
2014,Dedh Ishqiya
2014,Yaariyan
2014,Karle Pyaar Karle
2014,Miss Lovely
2014,Om-Dar-Ba-Dar
2014,Paranthe Wali Gali
2014,Strings of Passion
2014,Jai Ho
2014,One By Two
2014,Babloo Happy Hai
2014,Hasee Toh Phasee
2014,Heartless
2014,Ya Rab
2014,Gunday
2014,Darr @ the Mall
2014,Dee Saturday Night
2014,Gulabi Gang
2014,Highway
2014,Anuradha
2014,Shaadi Ke Side Effects
2014,Gulaab Gang
2014,Queen
2014,Total Siyapaa
2014,Bewakoofiyaan
2014,Neighbours: They Are Vampires
2014,W
2014,Ankhon Dekhi
2014,Gangs of Ghosts
2014,Lakshmi
2014,Ragini MMS 2
2014,Dishkiyaoon
2014,O Teri
2014,Station: The Flim
2014,Youngistaam
2014,Honour Killing
2014,Jal
2014,Main Tera Hero
2014,Bhoothnath Returns
2014,2 States
2014,Dekh Tamasha Dekh
2014,Lucky Kabootar
2014,Revolver Rani
2014,Samrat & Co.
2014,Purani Jeans
2014,Kya Dilli Kya Lahore
2014,Angry Young Man
2014,Kahi Hai Mera Pyar
2014,Hawaa Hawaai
2014,Khwaabb
2014,Koyelaanchal
2014,Manjunath
2014,Mastram
2014,Yeh Hai Bakrapur
2014,The Xpose
2014,Children of War
2014,M3 - Midsummer Midnight Mumbai
2014,Kochadaiiyaan
2014,City Lights
2014,Kuku Mathur Ki Jhand Ho Gayi
2014,Filmistaan
2014,Holiday
2014,Fugly
2014,Machhli Jal Ki Rani Hai
2014,Humshakals
2014,Ek Villain
2014,Bobby Jasoos
2014,Lekar Hum Deewana Dil
2014,Humpty Sharma Ki Dulhania
2014,Hate Story 2
2014,Bazaar-E-Husn
2014,Riyasat
2014,Amit Sahni Ki List
2014,Pizza
2014,Kick
2014,Entertainment
2014,Singham Returns
2014,Life is Beautiful!
2014,Mad About Dance
2014,Mardaani
2014,Mumbhai Connection
2014,Abhinay Chakra
2014,Raja Natwarlal
2014,Mary Kom
2014,Creature
2014,Finding Fanny
2014,Daawat-E-Ishq
2014,Khoobsurat
2014,3 A.M.
2014,Chaarfutiya Chhokare
2014,Desi Kattey
2014,Meine Ek Ladki Chaahiye
2014,Balwinder Singh Famous Ho Gaya
2014,Bang Bang!
2014,Haider
2014,Jigariyaa
2014,Ekkees Toppon Ki Salaami
2014,Tamanchey
2014,Mumbai 125 KM 
2014,Sonali Cable
2014,Happy New Year
2014,Fireflies
2014,Roar - Tigers of Sunderbans
2014,Super Nani
2014,Chaar Sahibzaade
2014,Rang Rasiya
2014,A Decent Arrangement
2014,The Shaukeens
2014,6 - 5 = 2
2014,Kill Dil
2014,Happy Ending
2014,Titoo MBA
2014,Wah Taj
2014,Hum Hai Teen Khurafaati
2014,Ungli
2014,Zed Plus
2014,Zid
2014,Action Jackson
2014,Bhopal: A Prayer for Rain
2014,Mumbai Delhi Mumbai
2014,Sulemani Keeda
2014,Badlapur Boys
2014,Life Mein Twist Hai
2014,Main Aur Mr. Riight
2014,Room - The Mystery
2014,PK
2014,Lingaa
2014,Ugly
2013,Table No. 21
2013,Dehraadumm Diary
2013,Mera Shadi Karao
2013,Matru Ki Bijlee Ka Mandola
2013,Gangoobai
2013,Inkaar
2013,Mumbai Mirror
2013,Bandook
2013,Race 2
2013,Akaash Vani
2013,Main Krishna Hoon
2013,David
2013,Vishwaroop
2013,Listen Amaya
2013,Special 26
2013,Jayantabhai Ki Luv Story
2013,Murder 3
2013,Kai Po Che!
2013,Zilla Ghaziabad
2013,"I, Me, aur Main"
2013,Bloody Isshq
2013,"Saheb, Biwi Aur Gangster Returns"
2013,Saare Jahaan Se Mehnga
2013,3G
2013,Meri Dad Ki Maruti
2013,Jolly LLB
2013,Rangrezz
2013,Himmatwala
2013,Chashme Baddoor
2013,Nautanki Saala
2013,Commando- A One Man Army
2013,Ek Thi Daayan
2013,Aashiqui 2
2013,Shree
2013,Shootout at Wadala
2013,Bombay Talkies
2013,Go Goa Gone
2013,Gippi
2013,Aurangzeb
2013,I Don't Luv U
2013,Ishkq in Paris
2013,Hum Hai Raahi Car Ke
2013,Zindagi 50-50
2013,Yeh Jawaani Hai Deewani
2013,Yamla Pagla Deewana 2
2013,Fukrey
2013,Anjur Arora Murder Case
2013,Raanjhanaa
2013,Enemmy
2013,Romeo
2013,Ghanchakkar
2013,Lootera
2013,Policegiri
2013,Bhaag Milkha Bhaag
2013,Sixteen
2013,B.A. Pass
2013,Boyss Toh Boyss Hai
2013,Ramaiya Vastavaiya
2013,D Day
2013,Ship of Theseus
2013,Issaq
2013,Bajatey Raho
2013,Luv U Soniyo
2013,Nasha
2013,Rabba Main Kya Karoon
2013,Chor Chor Super Chor
2013,Calapor
2013,Love in Bombay
2013,Chennai Express
2013,Once Upon A Time in Mumbai Doobara!
2013,Madras Cafe
2013,Satyagraha
2013,Zanjeer
2013,Shudhh Desi Romance
2013,Siddharth
2013,Grand Masti
2013,John Day
2013,Horror Story
2013,Phata Poster Nikla Hero
2013,The Lunchbox
2013,Warning
2013,Maazii
2013,Prague
2013,Super Model
2013,War Chhod Na Yaar
2013,Baat Ban Gayi
2013,Pazhassi Raja
2013,Boss
2013,Shahid
2013,Wake Up India
2013,Dilli Gang
2013,Mickey Virus
2013,Sooper Se Ooper
2013,Krrish 3
2013,Satya 2
2013,Rajjo
2013,Golliyon Ki Rasleela Ram-Leela
2013,Gori Tere Pyaar Mein
2013,Singh Saab The Great
2013,Bullett Raja
2013,Jackpot
2013,What the Fish
2013,Dhoom 3
2012,Players
2012,Chaalis Chauraasi 4084
2012,Ghost
2012,Sadda Adda
2012,Agneepath
2012,Gali Gali Chor Hai
2012,Staying Alive
2012,Love You To Death
2012,Ek Main Aur Ekk Tu
2012,Valentine's Night
2012,Ekk Deewana Tha
2012,? : A Question Mark
2012,Marries 2 America
2012,Jodi Breakers
2012,Tere Naal Love Ho Gaya
2012,"London, Paris, New York"
2012,Paan Singh Tomar
2012,Will You Marry Me?
2012,Kahaani
2012,Chaar Din Ki Chandni
2012,Say Yes to Love
2012,Zindagi Tere Naam
2012,Agent Vinod
2012,Blood Money
2012,Bumboo
2012,Housefull 2
2012,Bittoo Boss
2012,Chhodo Kal Ki Baatein
2012,Ab Hoga Dharna Unlimited
2012,Vicky Donor
2012,Hate Story
2012,Tezz
2012,Life Ki Toh Lag Gayi
2012,Jannat 2
2012,Fatso!
2012,Dangerous Ishq
2012,Ishaqzaade
2012,Department
2012,Arjun: The Warrior Prince
2012,Yeh Khula Aasmaan
2012,Rowdy Rathore
2012,Shanghai
2012,Ferrari Ki Sawaari
2012,Teri Meri Kahaani
2012,Gangs of Wasseypur
2012,Maximum
2012,Bol Bachchan
2012,Cocktail
2012,Gattu
2012,Challo Driver
2012,Mere Dost Picture Abhi Baaki Hai
2012,Kyaa Super Kool Hai Hum
2012,Aalaap
2012,Jism 2
2012,Krishna Aur Kans
2012,Gangs of Wasseypur - Part 2
2012,Paanch Ghantey Mein Paanch Crore
2012,Ek Tha Tiger
2012,Shirin Farhad Ki Toh Nikal Padi
2012,Joker
2012,Jalpari: The Desert Mermaid
2012,From Sydney with Love
2012,Raaz 3
2012,Chal Pichchur Banate Hai
2012,Barfi!
2012,Jeena Hai Toh Thok Daal
2012,Heroine
2012,Kamaal Dhamaal Malamaal
2012,Oh My God
2012,English Vinglish
2012,Kismet Love Paisa Dilli
2012,Aiyyaa
2012,Makkhi
2012,Login
2012,Chittagong (film)
2012,Bhoot Returns
2012,Student of the Year
2012,Delhi Safari
2012,Chakravyuh
2012,Ajab Gazabb Love
2012,Rush
2012,Luv Shuv Tey Chicken Khurana
2012,Ata Pata Laapata
2012,Jab Tak Hai Jaan
2012,Son of Sardaar
2012,Talaash
2012,Khiladi 786
2012,Cigarette Ki Tarah
2012,Dabangg 2
2011,No One Killed Jessica
2011,Impatient Vivek
2011,Yamla Pagla Deewana
2011,Turning 30!!
2011,Mumbai Mast Kallander
2011,Dhobi Ghat
2011,Hostel
2011,Yeh Saali Zindagi
2011,United Six
2011,Utt Pataang
2011,Patiala House
2011,Angel
2011,Aashiqui.in
2011,7 Khoon Maaf
2011,Kaccha Limbo
2011,Masti Express
2011,Tanu Weds Manu
2011,Satrangee Parachute
2011,Yeh Faasley
2011,Happy Husbands
2011,Monica
2011,Game
2011,F.A.L.T.U.
2011,Memories in March
2011,Thank You
2011,Teen Thay Bhai
2011,Dum Maaro Dum
2011,Zokkomon
2011,Shor in the City
2011,Chalo Dilli
2011,I Am
2011,Naughty @ 40
2011,Luv Ka The End
2011,Haunted - 3D
2011,Love U.. Mr. Kalakaar!
2011,Ragini MMS
2011,Shagird
2011,Stanley Ka Dabba
2011,404
2011,Pyar ka Punchnama
2011,Kuchh Luv Jaisaa
2011,Ready
2011,Shaitan
2011,Bheja Fry 2
2011,Always Kabhi Kabhi
2011,Bhindi Baazaar Inc.
2011,Bin Bulaye Baraati
2011,Double Dhamaal
2011,Buddhah Hoga Tera Baap
2011,Delhi Belly
2011,Murder 2
2011,Chillar Party
2011,Zindagi Na Milegi Dobara
2011,Singham
2011,Khap
2011,Gandhi to Hitler
2011,Bubble Gum
2011,Chala Mussaddi.. Office Office
2011,I Am Kalam
2011,Milta Hai Chance by Chance
2011,Warning
2011,Aarakshan
2011,Phhir
2011,Chatur Singh Two Star
2011,Not a Love Story
2011,Sahi Dhandhe Galat Bande
2011,Shabhri
2011,Yeh Dooriyan
2011,Bodyguard
2011,That Girl in Yellow Boots
2011,Mere Brother in Dulhan
2011,Masuam
2011,Speedy Singhs
2011,U R My Jaan
2011,Force
2011,Hum Tum Shabana
2011,Saheb Biwi Aur Gangster
2011,Tere Mere Phere
2011,Chargesheet
2011,Rascals
2011,Love Breakups Zindagi
2011,Mujhse Fraaandship Karoge
2011,My Friend Pinto
2011,Aazaan
2011,Ra.One
2011,Tell Me O Kkhuda
2011,Damadamm!
2011,Loot
2011,Miley Naa Miley Hum
2011,Rockstar
2011,Shakal Pe Mat Ja
2011,Desi Boyz
2011,The Dirty Picture
2011,Ladies vs Ricky Bahl
2011,Jo Hum Chalein
2011,Don 2: The Chase Continues
2010,Dulha Mil Gaya
2010,Pyaar Impossible!
2010,Chance Pe Dance
2010,Hello! Hum Lallan Bol Rahe Hain
2010,The Waiting Room
2010,Ishqiya
2010,Rann
2010,Road to Sangam
2010,The Hangman
2010,Striker
2010,My Name is Khan
2010,Sukhmani
2010,Aakhari Decision
2010,Click
2010,Toh Baat Pakki!
2010,Karthik Calling Karthik
2010,Teen Patti
2010,Atithi Tum Kab Jaoge?
2010,"Road, Movie"
2010,Rokkk
2010,Thanks Maa
2010,Na Ghar Ke Na Ghaat Ke
2010,Right Yaaa Wrong
2010,Trump Card
2010,Lahore
2010,Love Sex aur Dhokha
2010,Shaapit
2010,Hum Tum Aur Ghost
2010,Mittal v/s Mittal
2010,Prem Kaa Game
2010,Well Done Abba
2010,Pankh
2010,Sadiyaan
2010,Tum Milo Toh Sahi
2010,Jaana Kahan Se Aayi Hai
2010,Prince - It's Showtime
2010,The Japanese Wife
2010,Paathshaala
2010,Phoonk 2
2010,Apartment 2
2010,City of Gold
2010,Chase
2010,Housefull
2010,Badmaash Company
2010,It's a Wonderful Afterlife
2010,Bumm Bumm Bole
2010,Kushti
2010,Kites
2010,Raajneeti
2010,Ek Second... Ji Zindagi Badal De?
2010,Raavan
2010,Mr Singh/ Mrs Mehta
2010,I Hate Luv Storys
2010,Milenge Milenge
2010,Red Alert: The War Within
2010,Lamhaa
2010,Tere Bin Laden
2010,Udaan
2010,Khatta Meetha
2010,Once Upon a Time in Mumbai
2010,Aisha
2010,Help
2010,Peepli Live
2010,Lafangey Parindey
2010,Mr. Bhatti on Chutti
2010,Hello Darling
2010,Antardwand
2010,Life Expres
2010,Aashayein
2010,Soch Lo
2010,We Are Family
2010,Mallika
2010,The Film Emotional Atyachar
2010,Dabangg
2010,Robot
2010,Anjaana Anjaani
2010,Khichdi: The Movie
2010,Crook
2010,Do Dooni Chaar
2010,Aakrosh
2010,Knock Out
2010,Kajraare
2010,Ramayana: The Epic
2010,Hisss
2010,Jhootha Hi Sahi
2010,Rakta Charitra
2010,Dunno Y... Na Jaane Kyon
2010,Maalik Ek
2010,Nakshatra
2010,Golmaal 3
2010,Action Replayy
2010,A Flat
2010,Ramaa: The saviour
2010,Guzaarish
2010,"Shahrukh Bola ""Khoobsurat Hai Tu"""
2010,Diwangi Ne Had Kar Di
2010,Allah Ke Banday
2010,Bhindi Baazaar Inc.
2010,Break Ke Baad
2010,Khuda Kasam
2010,Khelein Hum Jee Jaan Sey
2010,Phas Gaye Re Obama
2010,Rakta Charitra - II
2010,Band Baaja Baaraat
2010,No Problem
2010,332 Mumbai To India
2010,Payback
2010,Kaalo
2010,Mirch
2010,Tees Maar Khan
2010,Isi Life Mein
2010,Toonpur Ka Super Hero
2010,Tera Kya Hoga Johny
2010,Ada... A Way of Life
2009,Chandni Chowk to China
2009,Aasma: The Sky is the Limit
2009,Raaz - The Mystery Continues
2009,Luck by Chance
2009,Victory
2009,Dev. D
2009,Chal Chala Chal
2009,Billu
2009,The Stoneman Murders
2009,Delhi-6
2009,13B
2009,Dhoondte Reh Jaoge
2009,Karma Aur Holi
2009,Jai Veeru
2009,Little Zizou
2009,Gulaal
2009,Aloo Chaat
2009,Barah Aana
2009,Firaaq
2009,Straight
2009,Aa Dekhen Zara
2009,99
2009,Ek: The Power of One
2009,8 x 10 Tasveer
2009,Ek Se Bure Do
2009,Sikander
2009,Sanam Teri Kasam
2009,Kal Kissne Dekha
2009,Zor Lagaa Ke... Haiya!
2009,Let's Dance
2009,Paying Guests
2009,New York
2009,Kambakkht Ishq
2009,Sankat City
2009,Shortkut
2009,Jashnn
2009,Luck
2009,Love Aaj Kal
2009,Agyaat
2009,Chal Chalein
2009,Tere Sang
2009,Kaminey
2009,Life Partner
2009,Daddy Cool
2009,Kisaan
2009,Love Khichdi
2009,Quick Gun Murugun
2009,Toss
2009,Yeh Mera India
2009,"Three - Love, Lies and Betrayal"
2009,Aagey Se Right
2009,Chintu Ji
2009,Fox
2009,Aamras
2009,Baabarr
2009,Phir Kabhi
2009,Vaada Raha
2009,Dil Bole Hadippa!
2009,Wanted
2009,What's Your Rashee?
2009,Do Knot Disturb
2009,Wake Up Sid
2009,Acid Factory
2009,All The Best: Fun Begins
2009,Blue
2009,Main Aurr Mrs Khanna
2009,Bal Ganesh 2
2009,Fruit and Nut
2009,London Dreams
2009,Aladin
2009,Ajab Prem Ki Ghazab Kahani
2009,Jail
2009,Tum Mile
2009,Aao Wish Karein
2009,Kurbaan
2009,De Dana Dan
2009,Radio
2009,Paa
2009,Rocket Singh: Salesman of the Year
2009,Raat Gayi Baat Gayi?
2009,3 Idiots
2009,Accident on Hill Road
2008,Rama Rama Kya Hai Drama
2008,Humne Jeena Seekh Liya
2008,Halla Bol
2008,Bombay to Bangkok
2008,Tulsi
2008,Sunday
2008,Superstar
2008,Jodhaa Akbar
2008,Black and White
2008,Race
2008,One Two Three
2008,Shaurya
2008,Krazzy 4
2008,U Me Aur Hum
2008,Sirf
2008,Tashan
2008,Mr. White Mr. Black
2008,Anamika
2008,Jimmy
2008,Bhoothnath
2008,Jannat
2008,Don Muthu Swami
2008,Woodstock Villa
2008,Aamir
2008,Sarkar Raj
2008,Mere Baap Pehle Aap
2008,Summer 2007
2008,De Taali
2008,Haal-e-dil
2008,Thoda Pyaar Thoda Magic
2008,Thodi Life Thoda Magic
2008,Via Darjeeling
2008,Jaane Tu... Ya Jaane Na
2008,Love Story 2050
2008,Mehbooba
2008,Kismat Konnection
2008,Contract
2008,Mission Istanbul
2008,Money Hai Toh Honey Hai
2008,Ugly Aur Pagli
2008,Good Luck!
2008,Singh is Kinng
2008,Bachna Ae Haseeno
2008,God Tussi Great Ho
2008,Phoonk
2008,Mumbai Meri Jaan
2008,Maan Gaye Mughal-e-Azam
2008,Rock On!!
2008,C Kkompany
2008,Chamku
2008,Mukhbiir
2008,A Wednesday!
2008,Tahaan
2008,1920
2008,The Last Lear
2008,Welcome to Sajjanpur
2008,Saas Bahu Aur Sensex
2008,Hari Puttar: A Comedy of Terrors
2008,Kidnap
2008,Drona
2008,Hello
2008,Karzzzz
2008,Heros
2008,Roadside Romeo
2008,Golmaal Returns
2008,Fashion
2008,EMI - Liya Hai Toh Chukana Padega
2008,Ek Vivaah... Aisa Bhi
2008,Dostana
2008,Dasvidaniya
2008,Deshdrohi
2008,Yuvvraaj
2008,Oye Lucky! Lucky Oye!
2008,Sorry Bhai!
2008,Maharathi
2008,Dil Kabaddi
2008,Meerbai Not Out
2008,"Oh, My God"
2008,Gumnaam - The Mystery
2008,Rab Ne Bana Di Jodi
2008,Wafaa
2008,Ghajini
2008,Jumbo
